sweater,clothes
optics,visual
triggers,warning!
accident,unintended
vasectomy,sex
tutelage,educational
jolly,feeling
thorny,uncomfortable
whetstone,tool
meal,edible
buttstuff,gross
sundry,heterogeneous
size,dimension
boob,you
scolds,yell
hair,body
seaweed,plant
describes,makes clear
ascension,altitude
fork,a parting
daemon,unseen
touching,sex
thug,role
jagex,company
spacecowboy,see you
swimmer,hobby
oculists,an order
drama,genre
coolant,for machines
foodies,fat fuckers
asswipe,you
mix,verb
helmets,armor
nintendo,company
kid,joke
winter,time
holodomor,was real
bologna,for sandwiches
bran,nutritious
armament,weapons
boxcutter,sharp
rewards,desired
battle,contention
boner,hard
mournful,feeling
halfsword,technique
arrive,british orgasm
dickhole,you
glove,clothing
dexterity,bendy
heraldry,medieval
water,element
cyan,color
redead,mob
nani,what
linguist,profession
cowboy,a trade
submissive,personality
salamander,animal
lamp,stack
boron,elemental
ruminate,think
unlawful,thoughts
borax,for cleaning
flight,transport
stewardess,job
friendship,is magic
benign,unharmful
decoding,this game
pride,lions
brogurt,gross
destructure,take apart
oxyclean,powder
gentile,heritage
hours,clock
prim,tidy
servant,job
utopias,lies
vitamin,edible
power,white
oxygen,drug
six,age
salami,edible
slavic,heritage
agents,governmental
condition,it be like that
primate,animal
thunderer,powerful
younglings,kill them
yellow,japs
million,quantity
ninetails,fictional creature
flextape,slap it on
triple,quantity
leatherman,tool
quitters,losers
destroyer,dangerous
drugs,for fun
xerxes,king
airbrush,photoshoppery
ausrotten,we must
solyanka,edible
pagan,gods
gunning,taking aim
worried,feeling
encyclopaedia,information
vortigaunt,alien
burning,your genitals
sprout,little
chernobyl,oh shit
rottingham,place
descartes,person
toast,edible
gemstones,expensive
yawning,habit
midnight,time
russet,color
golly,profanity
roundup,cowboys
bookish,nerds
jilted,cheated
france,geography
gemini,double
white,god
babushka,former soviet union
prescription,medical
victory,glorious
vorsichtig,danger
gluten,edible
pollvault,competition
jynx,curse
cigar,for disease
blacksmith,a trade
fascinate,to the curious
cyberwolf,2 words lmao
tiddies,yum
tower,tall
sarcasm,social skill
voracious,eats
light,fast
freeman,not black
woke,af
beans,nothing at all
elderly,diseased
socialist,cancer
politely,manner
bolonaise,food
magenta,color
shrek,you know him
pulverize,reduce
aegis,protection
coalesce,into one
runescape,game
quads,geometry
waiter,job
swole,attribute
home,place
carl,the llama
maths,fuckin brits
armpit,fart noises
finding,evidence
lamenting,sad
relenting,soft
lewd,you
aesthetic,appearances
meaty,robust
total,quantity
rebuttal,comeback
serial,in order
portraiture,art
them,referential
blanket,covers
french,heritage
green,gang
mexicans,heritage
august,for the emporer
unironic,srs
jamflex,company
iota,small
penguin,animal
triangular,geometry
purple,color
hehe,lol
lobotomy,operation
dontfap,2 words lmao
plane,geometry
space,out there
tormenting,unpleasant
svetovid,god
polyglot,hobby
rooftop,jump
tried,tested
ghoul,spooky
carpenter,a trade
whomstdve,should be a real word
godhood,supernatural
summer,time
missed,longed for
occident,geography
allfather,big cheese
cereal,edible
vacuum,space
sounded,noise
ukelele,noise
soup,edible
pepe,a god
looker,your mom
valentine,person
demented,personality
our,communism
listen,skill
ouroboros,symbol
fruity,gays
northern,geography
eviction,legal
tutoring,educational
clasped,your hand
fanny,body
cyclone,not the sports team
monopoly,game
gameboy,entertainment
national,heritage
fake,quality
teddy,toy
spouse,your mileage may vary
horny,feeling
buying,expensive
bender,not the robot
grunting,noise
splooge,embarassing
shit,oops
vertical,orientated
perdition,catholic
butter,greasy
goose,honk
capture,in battle
mojave,desert
auswaehlen,select
schadenfreude,you get it or you don't
utensil,thing
seclude,away
rendition,version
teal,color
dreary,adjetive
capoeira,for fighting
aesir,gods
patient,wait
growl,noise
lion,animal
cocaine,for fun
cyclical,a path can be
swing,motion
beginning,like birth
gone,location
banner,flag
booing,me at you
russia,place
jacking,bad habit
giraffe,long
jacket,clothes
ford,a crossing
kraft,edible
agenda,governmental
sweaty,uncomfortable
cheburek,edible
neptune,space
freeze,preserve
tsundere,characteristic
dracula,character
masters,in control
doomsday,superman
having,gerund
rebranded,changed
asunder,apart
stars,out there
peed,uh oh
gravity,doesn't exist
quill,old fashioned
golddigger,your wife
homunculus,never trust
ovendodger,you
uppity,bitches
quotient,math
skeet,sticky
perpetual,interval
horrors,spoops
perun,hail
fascism,political
humungous,size
monocle,eyewear
fucker,you
arrival,british orgasms
glorious,victory
guns,for fun
blenders,for drinks
juicebox,edible
whereupon,transition
waifu,person
goddamnit,oops
cannon,for war
audition,tryout
hackers,russians
uranous,god
double,quantity
triangles,geometry
pancreas,body
zhizn,life
cuff,for links
llewellyn,spoopy
real,what is?
groovy,good
biking,activity
policenaut,in space
mimisbrunnr,magic
zelda,character
perfume,smell
treading,movement
